,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,3,Indonesia,IDN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,9.32387620009,7.97745126381,7.85153705196,6.74089638494,-12.2034725621,-3.86072494494,1.11991464627,1.80857898459,2.3447270915,15.4254721673,2.05698008935,1.89265950464,8.89696046007,5.3967359892,2.24193111745,11.2208718977,6.4062483387,5.72419182772
1,4,Indonesia,IDN,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,1.7371436925e+11,1.87572348395e+11,2.02299660828e+11,2.15936471352e+11,1.89584723319e+11,1.82265378614e+11,1.84306595284e+11,1.87639925633e+11,1.92039569804e+11,2.21662580195e+11,2.26222135335e+11,2.30503750081e+11,2.51011577584e+11,2.64558009729e+11,2.70489218073e+11,3.0084046673e+11,3.20113054132e+11,3.38436939416e+11
2,5,Indonesia,IDN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1.54915700073e+11,1.76400801074e+11,1.97686510575e+11,1.87732510093e+11,78188791538.3,1.14322296883e+11,1.27064835987e+11,1.23492688126e+11,1.51374296467e+11,1.99377613608e+11,2.13892942484e+11,2.30503750081e+11,3.00062555419e+11,3.57344515024e+11,4.19196325135e+11,4.68226638967e+11,6.61043313354e+11,7.74660270947e+11
3,6,Indonesia,IDN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,7.59519852861,6.32294131817,6.25001737609,5.20059686472,-13.4407715382,-5.1926527133,-0.2645893298,0.428076473646,0.969522133936,13.8857928615,0.703587841818,0.547885845423,7.46759890714,4.02068410444,0.910941939121,9.77297037832,5.01988855986,4.34432689235
4,7,Indonesia,IDN,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,895.712323772,952.347688383,1011.86958439,1064.49284227,921.416791299,873.570817285,871.259442114,874.989098811,883.472311793,1006.149447,1013.22859218,1018.77992822,1094.858327,1138.87912172,1149.25364928,1261.56986799,1324.89926947,1382.45722473
5,8,Indonesia,IDN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,798.781944755,895.627189027,988.795366615,925.456973544,380.011976459,547.929744426,600.664549981,575.86228266,696.392934968,904.995671795,958.007246592,1018.77992822,1308.80810592,1538.3099073,1781.07988872,1963.50120558,2735.95778631,3164.35519754
6,9,Indonesia,IDN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,20.4481665515,18.8275996325,17.8163360527,19.3073642184,9.91210645139,2.50911036143,12.0227359301,9.83278006202,7.2207425692,20.3344461063,14.1903753338,13.5481930299,16.9306057233,15.476808106,14.4700634535,24.6928543012,25.7218552913,25.2455738121
7,10,Indonesia,IDN,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,35201314236.7,36937491167.1,39423275764.0,40437343619.1,8927189543.74,3245233159.26,18072215968.1,14101386542.6,12446971625.9,45904402051.5,34773656659.2,36845394800.4,59094247604.4,64142238282.4,71206603451.9,1.28574457703e+11,1.88900276385e+11,2.18733205534e+11
8,11,Indonesia,IDN,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.735881351166,0.677552649539,0.69688636318,0.833553794707,1.49550312032,1.23146262529,1.19353907893,1.44928588744,1.28834201952,1.0484517877,1.0701331389,1.019279918,0.834757938881,0.793614951708,0.756217015139,0.799530677931,0.559198166714,0.630941436417
9,12,Indonesia,IDN,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,1266812387.22,1329276992.08,1542042268.99,1745795067.63,1346902384.86,1592749130.3,1794092137.28,2078449876.9,2220818206.4,2366848457.17,2622371958.21,2772013279.4,2913622414.71,3289065742.01,3721313682.82,4163116263.45,4106728968.42,5466615412.23
10,13,Indonesia,IDN,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,5.15016619515,5.15260617903,5.14046960507,5.16305460409,5.31158864016,5.42528494107,5.48910009784,5.59391856174,5.67534875939,5.19989010692,5.24048055303,5.25575810853,5.22251018101,5.21445860184,5.18424208664,5.18134508936,5.14091836312,5.15319901849
11,14,Indonesia,IDN,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,8865959603.28,10108795010.5,11374625523.3,10813501562.8,4783802393.73,7016955037.08,8251050594.08,8022350487.76,9783052684.47,11738595919.7,12841850000.0,14293454636.8,18228545085.6,21610854374.0,25511447938.7,26979004813.1,37754698822.1,44648450000.0
12,15,Indonesia,IDN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,0.5,0.6,0.6,0.6,0.83,1.06,1.29,1.52,1.75,1.98,2.21,2.44,2.67,2.9,2.7,3.3,2.7,2.5
13,16,Indonesia,IDN,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,860745000.0,1177128000.0,1327656000.0,1256640000.0,747527012.31,1370982800.0,1939089300.0,2179862400.0,3016615000.0,4469790600.0,5415627100.0,6635775200.0,9319314600.0,12018789000.0,13286592000.0,17182935000.0,19828692000.0,21660550000.0
14,17,Indonesia,IDN,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,3.87818928401,3.71230592997,4.33756330614,4.16959031892,5.2256007665,4.56689503259,8.22705256893,6.77745428883,5.00908169525,5.12605554481,6.19928058859,8.38185573238,6.98089302906,6.06574188495,8.28798027182,3.51396265674,3.50328884713,4.23472546479
15,18,Indonesia,IDN,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,6676264070.53,7283098757.89,9597986581.29,8732789963.95,4706358709.04,5906730697.25,12366658610.0,9719682744.7,8634554844.65,11571916610.7,15191399075.1,22795127212.7,24365969410.8,25138921325.4,40784819398.4,18297027855.5,25728013161.7,36690593066.6
16,19,Indonesia,IDN,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,30.69470644,28.99101098,28.57382896,29.90546119,23.76242309,14.29026163,27.39494723,23.65163659,18.94378876,31.08386532,25.76541205,27.37037546,29.12685564,27.14721145,27.34047822,32.26905244,33.56915727,33.96745621
17,20,Indonesia,IDN,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.343616863181,0.565893456498,0.495555987638,0.412491424621,1.07334125456,0.746582674035,1.07931276532,0.95427425444,0.913659782318,0.829689835546,0.933953631834,1.34963321814,1.56513842865,2.28847767817,1.02861843685,1.24467938318,1.18453510192,0.99492360687
18,21,Indonesia,IDN,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,591532993.798,1110215054.43,1096546467.21,863922039.727,966688652.058,965615098.943,1622390569.45,1368543793.78,1574948459.56,1872999913.05,2288662714.34,3670435507.4,5462927868.58,9484389774.18,5061790183.02,6480983314.25,8699178407.13,8620237013.12
19,22,Indonesia,IDN,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,4.86052217777,4.93322930828,5.52019374072,5.2014841217,7.87322487412,6.18437588362,9.9796519479,8.29565265514,6.50932882861,6.48105643605,7.47444716225,9.98712863105,8.80904070483,8.56228766013,9.62987444047,4.8952565744,4.84724696546,5.43768268274
20,23,Indonesia,IDN,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.638716030573,0.655029921814,0.687074446948,0.619402378164,1.57428285306,0.870898176994,0.673286613653,0.563924111869,0.586587351039,0.525311055691,0.341212941833,0.25563968053,0.263009247124,0.208068097011,0.313275731796,0.136614534484,0.159423016406,0.208033611075
21,24,Indonesia,IDN,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,1099543259.47,1285090103.01,1520330853.23,1297276340.83,1417854165.88,1126402284.16,1012064239.05,808734847.313,1011147543.97,1185873948.89,836145726.092,695232562.377,918002215.978,862319501.932,1541617345.14,711345050.333,1170796255.56,1802448973.75
22,25,Indonesia,IDN,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,25.5445700804,23.8383815904,23.4334161566,24.7424021348,18.4508344458,8.86494887034,21.905926957,18.0577186046,13.2684134173,25.88395433,20.5249556349,22.114601579,23.904404367,21.9327107178,22.1561549091,27.0876415535,28.4283004235,28.8141979313
23,26,Indonesia,IDN,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,43974721947.7,46768044074.5,51852525934.7,51820487031.2,16617466443.3,11465747569.9,32928332223.9,25896935405.2,22871825680.5,58432250381.3,50296609033.0,60142428162.2,83435454914.4,90898145626.0,1.09029552061e+11,1.41043995187e+11,2.08776301178e+11,2.4965255e+11
24,27,Indonesia,IDN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,57.0052,53.9528,50.9004,47.848,48.4764,49.1048,49.7332,50.3616,50.99,51.093,51.196,51.299,51.402,51.505,51.505,51.505,51.505,51.505
25,28,Indonesia,IDN,Age dependency ratio (% of working-age population),SP.POP.DPND,62.1700377783,60.808261899,59.6549616828,58.3878983667,57.0781119585,55.8484137292,54.7878056578,54.3816060616,54.0531477584,53.7662811641,53.4737769336,53.1547465392,52.454512276,51.9138108666,51.5198568425,51.2660397062,51.1015212163,50.5634440876
26,29,Indonesia,IDN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.61244155481,6.68008551834,6.81128202885,6.93346672696,7.0508606093,7.16858659957,7.28927478167,7.36261538983,7.40771184069,7.41949053586,7.39778262656,7.34929370053,7.41349231063,7.45910390725,7.48425960307,7.48508046826,7.45559443533,7.50773015431
27,30,Indonesia,IDN,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,55.5575962235,54.1281763806,52.8436796539,51.4544316397,50.0272513492,48.6798271297,47.4985308762,47.0189906718,46.6454359177,46.3467906283,46.0759943071,45.8054528387,45.0410199654,44.4547069593,44.0355972395,43.780959238,43.645926781,43.0557139333
28,31,Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.1683015285,23.724172955,23.7186528812,24.0272250037,24.2204275849,25.3244423345,26.0420519218,26.3307517788,26.5962673261,28.15568816,29.4584255646,28.6193743548,28.4283798032,29.2563908654,29.8083982402,30.6916100399,30.6916100399,31.1884166772
29,32,Indonesia,IDN,Agricultural land (sq. km),AG.LND.AGRI.K2,419710.0,429780.0,429680.0,435270.0,438770.0,458770.0,471770.0,477000.0,481810.0,510060.0,533660.0,518460.0,515000.0,530000.0,540000.0,556000.0,556000.0,565000.0
32,37,Indonesia,IDN,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,645.484156568,660.124742362,668.37215795,670.865218553,665.480562878,651.339241483,661.643614814,682.18668494,705.526174339,727.723026431,744.258273658,761.045763375,796.294937855,811.796007712,850.047740059,883.262720911,909.810711561,946.179150397
33,38,Indonesia,IDN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,17.28626174,17.1383538803,16.6723869932,16.0921214127,18.0828603782,19.6126699626,15.6019712328,15.2902652094,15.456451726,15.1853485203,14.3357798335,13.1266186401,12.9738027192,13.7166831035,14.4817402608,15.2901481462,14.3052888321,13.7865969659
34,39,Indonesia,IDN,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,0.555933638277,4.37502278851,3.13919397337,1.00269748333,-1.33151403243,2.16292351332,1.88280988025,3.25598448565,3.44899203409,3.78812115874,2.81890931842,2.71807822835,3.35632698221,3.47042790702,4.82849022115,3.95781590202,3.00567317305,3.94695350383
35,40,Indonesia,IDN,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,28700162053.5,29955800683.7,30896171373.4,31205966506.2,30790454683.2,31456428667.4,32048693414.3,33092193899.8,34233541031.3,35530349042.5,36531917362.5,37524883454.7,38784341243.2,40130323845.2,42068012607.8,43732987100.5,45047457761.5,46825459974.0
36,41,Indonesia,IDN,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,6.09152917747e+14,6.35803496716e+14,6.55762601767e+14,6.62337916872e+14,6.53518794566e+14,6.67653906238e+14,6.80224559951e+14,7.0237256609e+14,7.26597339944e+14,7.54121727518e+14,7.75379735167e+14,7.96455162935e+14,8.2318680247e+14,8.5175490699e+14,8.92881809382e+14,9.2822042762e+14,9.561197e+14,9.938573e+14
