,Data Source,World Development Indicators,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,Brazil,BRA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.81701596599,6.73663537711,4.22602036956,2.60006690884,-2.08791536073,-4.50006376189,4.59388623556,-0.0480876833948,2.35284329937,0.145752520343,7.16268296384,1.27928113765,0.994607818013,5.67271705798,4.45581323084,1.16178092174,14.4849048359,3.93786664131,0.816904992577,2.46561967047
1,Brazil,BRA,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,5.79860852669e+11,6.18923964008e+11,6.45079816799e+11,6.61852323652e+11,6.48033407321e+11,6.18871490793e+11,6.47301743024e+11,6.46990470612e+11,6.62213142547e+11,6.63178334892e+11,7.10679696505e+11,7.19771287812e+11,7.26930189312e+11,7.68166882161e+11,8.02394963731e+11,8.11717035337e+11,9.29293475443e+11,9.65887813212e+11,9.73778198981e+11,9.97787865802e+11
2,Brazil,BRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4.82891629628e+11,6.87703656811e+11,7.5958501305e+11,7.80339234372e+11,7.46076618661e+11,5.02293097358e+11,5.52032243617e+11,4.66085210239e+11,4.18066568534e+11,4.53965164098e+11,5.4799007045e+11,7.19771287812e+11,8.85322006238e+11,1.10816368168e+12,1.33025726733e+12,1.32796977065e+12,1.82837384517e+12,2.16258678244e+12,2.00446082785e+12,1.98510340221e+12
3,Brazil,BRA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.21573411816,5.10068343405,2.61940598443,1.0169001336,-3.59386265703,-5.95423150897,3.02701382152,-1.52308924261,0.868141989095,-1.26226764452,5.72954465455,0.00958966406095,-0.1805846461,4.52914559799,3.39115546688,0.168374674102,13.3822681137,2.9512557072,-0.121521699805,1.53366778772
4,Brazil,BRA,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,3618.23920257,3802.79413018,3902.4047472,3942.08830629,3800.41506674,3574.12955537,3682.31895101,3626.23394719,3657.7148067,3611.54465617,3818.46971996,3818.83589838,3811.93966709,3984.58796472,4119.71153732,4126.64808819,4678.88719946,4816.97312497,4811.11945735,4884.9060467
5,Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3013.16672245,4225.39048656,4595.10293709,4647.81350889,4375.39298201,2900.86169978,3140.35735906,2612.30124464,2309.17838935,2472.20902165,2944.34117246,3818.83589838,4642.52843443,5748.19843382,6829.89856557,6751.19983522,9205.65483999,10785.0231351,9903.38508346,9718.54233264
6,Brazil,BRA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,14.3637509657,9.57360500109,9.04837389802,8.17863978085,6.90086378186,3.02797819333,4.68373109066,3.62271835412,4.28406105848,4.39096368774,7.41341672888,6.06492477198,5.62375065307,5.73189826743,5.35795031425,3.64801869898,9.12073289673,9.34644571734,7.6150379947,6.90110358839
7,Brazil,BRA,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,77150579186.8,72557107734.6,74876832229.7,69929496572.6,56968286726.5,17200975163.3,29361794996.9,19353901853.5,20841957049.5,23471852483.2,47725130473.0,51961000386.9,59742227937.7,76732922106.0,86498749873.2,57934914562.2,1.98168899867e+11,2.40293380814e+11,1.8128130999e+11,1.62592760984e+11
8,Brazil,BRA,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.257945899046,0.201440330295,0.209514465601,0.220218464993,0.242386376778,0.370967854179,0.356335834834,0.445151901453,0.494482280374,0.449524858502,0.407578048765,0.328581799624,0.276295118266,0.237623035032,0.216694589562,0.21241065435,0.181560769116,0.16566425098,0.187284468135,0.199397345957
9,Brazil,BRA,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,1385479012.96,1526690076.06,1733767820.31,1882925132.49,2000957713.03,2107349669.88,2233830151.63,2378166163.76,2405656294.02,2402930635.87,2623852977.19,2815111425.0,2935138300.36,3181059569.97,3498317453.89,3373336083.86,3944825298.8,4259161627.0,4458437863.09,4697881229.69
